X,Y,OBJECTID,ACCPRKID,STREET_NAME,FROM_STR,TO_STR,NUMSPOTS,DURATION,QUALIFIER,STATUS,COMMENTS,DIRECTION,ADJSURFMAT,OBSTRUCT,LOC_HILL,ADDDATE,MODDATE,SDATE,SOURCE,SACC,WINT_PLOW,WINT_MAINT,WINT_ROUTE,WINT_LOS,WINT_MAT,WINT_COMM,WINT_ADDBY,WINT_ADDDATE,WINT_MODBY,WINT_MODDATE
-63.58615283,44.67238863,74657,AP52,HESTER ST,JAMIESON ST,HENRY ST,1,NTR,,INS,,SE,CONCRETE,N,Y,2019/10/16 17:59:49+00,2020/11/26 02:17:56+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM2,R2,PRI2,,ACCESSIBLE PARKING - NTR - SPOT(S) = 1,,,,
-63.57498079,44.64758319,74658,AP74,ARGYLE ST,CARMICHAEL ST,PRINCE ST,1,HR3,,INS,,S,CONCRETE,Y,N,2019/10/16 20:44:53+00,2020/11/26 02:17:56+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM1,R1,PRI2,,ACCESSIBLE PARKING - HR3 - SPOT(S) = 2,,,,
-63.58429251,44.64996016,74659,AP81,BAUER ST,COGSWELL ST,FALKLAND ST,1,NTR,,INS,,NE,CONGRAS,N,N,2019/10/16 21:15:12+00,2020/11/26 02:17:56+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM1,R6,PRI2,,ACCESSIBLE PARKING - NTR - SPOT(S) = 1,,,,
-63.57221883,44.64373027,74660,AP79,BARRINGTON ST,BISHOP ST,SPRING GARDEN RD,3,,1,INS,,N,CONCRETE,Y,N,2019/10/16 21:04:30+00,2020/11/26 02:17:56+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM1,R2,PRI2,,ACCESSIBLE PARKING - SPOT(S) = 5,,,,
-63.56735017,44.66801135,74661,AP50,DUNDAS ST,OCHTERLONEY ST,NORTH ST,2,NTR,1,INS,,W,CONCRETE,N,Y,2019/10/16 17:30:31+00,2020/11/26 02:17:56+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM2,R1,PRI2,,ACCESSIBLE PARKING - SPOT(S) = 2,,,,
-63.55894015,44.66933968,74662,AP48,HAWTHORNE ST,PORTLAND ST,ERSKINE ST,2,NTR,,INS,,N,CONCRETE,N,N,2019/10/16 17:08:12+00,2020/11/26 02:17:53+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,SWZ8,,PRI2,,ACCESSIBLE PARKING - NTR - SPOT(S) = 2,,,,
-63.57453589,44.64650918,74663,AP76,ARGYLE ST,PRINCE ST,SACKVILLE ST,1,HR3,,INS,,S,CONCRETE,N,N,2019/10/16 20:44:53+00,2020/11/26 02:17:56+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM1,R5,PRI2,,ACCESSIBLE PARKING - HR3 - SPOT(S) = 1,,,,
-63.54255517,44.6662893,74664,AP69,REGENCY DR,GASTON RD,END,2,NTR,,INS,,SE,GRASS,Y,N,2019/10/16 19:32:01+00,2020/11/26 02:17:53+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,SWZ8,,PRI2,,ACCESSIBLE PARKING - NTR - SPOT(S) = 2,,,,
-63.5685892,44.66514284,74665,AP56,QUEEN ST,ALDERNEY DR,EDWARD ST,1,HR2,,INS,,NE,CONCRETE,N,Y,2019/10/16 19:20:23+00,2020/11/26 02:17:56+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM2,R1,PRI2,,ACCESSIBLE PARKING - HR2 - SPOT(S) = 1,,,,
-63.57564309,44.66906758,74666,AP51,WYSE RD,THISTLE ST,NANTUCKET AVE,1,NTR,,INS,,NW,CONCRETE,N,N,2019/10/16 17:36:25+00,2020/11/26 02:17:56+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM2,R2,PRI2,,ACCESSIBLE PARKING - NTR - SPOT(S) = 1,,,,
-63.56620715,44.66605376,74667,AP60,PORTLAND ST,KING ST,WENTWORTH ST,2,HR3,,INS,,SW,CONCRETE,N,N,2019/10/16 19:20:23+00,2020/11/26 02:17:56+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM2,R1,PRI2,,ACCESSIBLE PARKING - HR3 - SPOT(S) = 2,,,,
-63.58835366,44.67299076,74668,AP70,ELMWOOD AVE,WINDMILL RD,HESTER ST,1,NTR,,INS,,NE,CONCRETE,Y,N,2019/10/16 19:57:40+00,2020/11/26 02:17:56+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM2,R2,PRI2,,ACCESSIBLE PARKING - NTR - SPOT(S) = 1,,,,
